dodane-data,id,title,category-tree-item,user-profile-link,filters,description,pay_low,pay_high,pay_currency,pay_period,Lokalizacja,Wymiar pracy,Typ umowy,user-profile-link-hash
Dodane 17 maja 2023,ID: 836500741,"Praca w restauracji ( Dania) - Szef kuchni, Kucharz, Pomoc kuchenna",Strona główna/Praca/Gastronomia/Kucharz/Kucharz - Pomorskie/Kucharz - Gdynia/Kucharz - Śródmieście,/oferty/uzytkownik/Feol9/,Odpowiednie doświadczenie zawodowe/Praca zmianowa/Rekrutacja online,"Poszukujemy ambitnych, energicznych, kreatywnych osób do współpracy na wyżej wymienionych stanowiskach do restauracji w Danii - miejscowość Silkeborg. Praca w systemie zmianowym w miesiącu 15 dni pracy / 15 dni wolnego. Zapewniamy zakwaterowanie w pobliżu miejsca pracy. Język duński nie jest wymagany , język angielski mile widziany. Osoby zainteresowane prosimy o przesyłanie CV wraz ze zdjęciem na adres e-mail lub kontakt telefoniczny +45********** 33",,,,,"Gdynia, Śródmieście",Pełny etat,Umowa o pracę,6020935134074659507
Dodane Dzisiaj o 12:40,ID: 582514951,Pracownik produkcji. Monter/ka.,Strona główna/Praca/Produkcja/Obsługa produkcji/Obsługa produkcji - Zachodniopomorskie/Obsługa produkcji - Szczecin/Obsługa produkcji - Słoneczne,/oferty/uzytkownik/34AXT/,Doświadczenie nie jest wymagane,"Firma Eegholm Polska Sp. z o.o. istnieje na polskim rynku od 2010 roku. Zajmujemy się wytwarzaniem rozdzielni elektrycznych i szaf sterowniczych na rynek morski i lądowy. Siedziba firmy mieści się przy ul. Struga, Szczecin - Prawobrzeże.Oferujemy pracę na stanowisku produkcyjnym: MonterZakres obowiązków:- Montaż rozdzielni sterowniczych według instrukcji montażowych- Wykonanie prac na wysokim poziomie jakościowymWymagania:- Mile widziane doświadczenie w firmie produkcyjnej lub o podobnym charakterze- Zdolności manualne oraz techniczneOferujemy:- Atrakcyjne i stabilne warunki zatrudnienia- Jednozmianowy system pracy- Możliwość przyuczenia do zawodu- Możliwość rozwoju- Dogodne warunki socjalne- Prywatna opieka medyczna- Medicover- Imprezy integracyjne- Owoce- Karta sportowa Multisport- Bony świąteczneZainteresowane osoby prosimy o składanie aplikacji mailowo. Prosimy również o zamieszczenie poniższej klauzuli: Wyrażam zgodę na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji (zgodnie z Ustawą z dn. 29.08.97 roku o Ochronie Danych Osobowych Dz. Ust. nr 133 poz.883).",,,,,"Szczecin, Słoneczne",Pełny etat,Umowa o pracę,-177932525433963008
Dodane Dzisiaj o 13:20,ID: 802464610,"Spawacz MAG, od 21 Euro/h brutto, Niemcy/Ahlen, okolice Dortmundu",Strona główna/Praca/Praca za granicą/Praca za granicą - Małopolskie/Praca za granicą - Kraków/Praca za granicą - Bieńczyce,/oferty/uzytkownik/15Wsg1/,Kraj: Niemcy/Odpowiednie doświadczenie zawodowe/Praca zmianowa,"Nazwa stanowiska: Spawacz MIG/MAG Miejsce pracy: D-59227 Ahlen Początek pracy:  Maj 2023 (możliwość długofalowej współpracy) Oferta obejmuje:A.      Wynagrodzenie 21,00 Euro brutto/h·       +25% za nadgodziny·       +25% za zmiany nocne·       +15% za drugie zmiany (praca od 14:00 do 22:00)·       wynagrodzenie płatne do 10 dnia każdego miesiąca·       wypłata w Euro·       możliwość wypłaty zaliczkiB.      Wymiar czasu pracy:·       praca poniedziałek-piątek, standardowy tydzień pracy wynosi 37,5 godziny tygodniowo  ·       praca na trzy zmiany (poranna, popołudniowa i nocna)·       możliwa praca również w soboty i nadgodziny·       płatne urlopy (dwa dni w skali miesiąca)C.       Zakwaterowanie:·       190 Euro miesięcznie za pokój dwuosobowy·       290 Euro miesięcznie za pokój jednoosobowy·       pierwsza płatność po przepracowaniu pierwszego miesiąca·       odległość od miejsca pracy w promieniu 5 km.D.      Opieka polskiego koordynatora w czasie pobytu w NiemczechE.       Ubezpieczenie zdrowotne i społeczne w Niemczech, umowa na niemieckich warunkach! Opis stanowiska pracy:·       Spawanie elementów maszyn rolniczych (nowe elementy maszyn)·       Metoda spawania MIG/MAG·       Praca z rysunkiem technicznymWymagania:·       Doświadczenie w pracy na stanowisku Spawacz MIG/MAG minimum 2 lata·       Umiejętność/doświadczenie w pracy z rysunkiem technicznym·       Sumienność, rzetelność i pracowitość·       Prawo jazdy i własny środek transportu·       Gotowość do rozpoczęcia pracy w maju/czerwcu 2023·       Mile widziane, ale niekonieczne: własny środek transportu i podstawowa znajomość języka niemieckiego lub angielskiego Zainteresowane osoby prosimy o przesłanie aktualnego CVAgencja Zatrudnienia (nr licencji 13857)Wysyłając do nas formularz kontaktowy za pomocą przycisku WYŚLIJ wyrażasz zgodę na przetwarzanie danych osobowych zgodnie z poniższymi informacjami:Wyrażam zgodę na przetwarzanie moich danych osobowych podanych w formularzu oraz załączonych przeze mnie dokumentach dla potrzeb niezbędnych do realizacji obecnego procesu rekrutacji, jak i przyszłych procesów rekrutacyjnych prowadzonych przez W4P Sp. z o.o.Wyrażam zgodę na udostępnianie moich danych potencjalnym pracodawcom lub podmiotom pracującym z W4P Sp. z o.o. do realizacji obecnego i przyszłych procesów rekrutacyjnych.Administratorem podanych danych jest W4P Sp. z o.o. z siedzibą w Krakowie 31-511, ul. Rakowicka 10 B/4.Celem przetwarzania danych osobowych jest przeprowadzenie obecnego i przyszłych procesów rekrutacyjnych.Twoje dane osobowe wskazane w Kodeksie Pracy lub w innych ustawachszczegółowych przetwarzane będą w oparciu o przepisy prawa i ich podanie jest konieczne do wzięcia udziału w procesie rekrutacji. Pozostałe dane osobowe (np. wizerunek, zainteresowania) przetwarzane będą na podstawie Twojej dobrowolnej zgody, która została wyrażona poprzez wysłanie swojego zgłoszenia rekrutacyjnego, a ich podanie nie ma wpływu na możliwość udziału w rekrutacji.Dane osobowe będą przechowywane przez okres niezbędny do przeprowadzenie obecnego i przyszłych procesów rekrutacyjnych, jednak nie dłużej niż do czasu cofnięcia wyrażonej przez kandydata zgody.Dane zostały podane dobrowolnie i kandydatom do pracy przysługuje prawo do: dostępu do treści swoich danych osobowych, uzyskania ich kopii, poprawiania swoich danych osobowych, usunięcia tych danych, ograniczenia przetwarzania oraz przeniesienia podanych danych do innego administratora danych. W tym celu prosimy o kontakt na adres biuro(at)w4p.com.pl. Kandydatom przysługuje również prawo wniesienia skargi do Prezesa Urzędu Ochrony Danych Osobowych, jeśli uznają że dane zostały przetwarzane niezgodnie z wymogami prawnymi.Administrator danych nie przekazuje Twoich danych osobowych poza Europejski Obszar Gospodarczy.     ",100,125,zł, godz. brutto,"Kraków, Bieńczyce",Pełny etat,Umowa o pracę,2865826731208918078
Dodane Dzisiaj o 14:32,ID: 662892847,Pracownik Magazynu,Strona główna/Praca/Prace magazynowe/Prace magazynowe - Łódzkie/Prace magazynowe - Aleksandrów Łódzki,/oferty/uzytkownik/5a6Dl/,Doświadczenie nie jest wymagane,"Hurtownia Zoologiczna poszukuje pracownika magazynu Zakres obowiązków: - Przyjmowanie, rozkładanie dostaw w magazynie - Przygotowywanie towaru do wysyłki - Weryfikacja oraz pakowanie towaru do wysyłki - Foliowanie palet Oferujemy: - Umowę o pracę - Pełen etat (od poniedziałku do piątku w godzinach 8-16) - Atrakcyjne wynagrodzenie Wymagania: - Dobra organizacja pracy własnej - Dobry stan zdrowia pozwalający na pracę fizyczną - Umiejętność pracy w zespole - Odporność na stres - Dokładność, skrupulatność",4300,4500,zł, mies. brutto,Aleksandrów Łódzki,Pełny etat,Umowa o pracę,-5340906445029669328
Dodane Dzisiaj o 11:48,ID: 833765261,Kierownik Sklepu CCC Słupsk Jantar,Strona główna/Praca/Pracownik sklepu/Zarządzanie sklepem/Zarządzanie sklepem - Pomorskie/Zarządzanie sklepem - Słupsk,http://ccc.olx.pl,Odpowiednie doświadczenie zawodowe/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy/Kadra kierownicza/Rekrutacja online,"CCC S.A. jest jednym z największych producentów obuwia i jedną z najszybciej rozwijających się spółek obuwniczych w Europie. Grupa CCC jest również liderem e-commerce na rynku obuwia w Europie Środkowo-Wschodniej. W związku z szeroką ekspansją proponujemy zatrudnienie na stanowisku:

Kierownik Sklepu CCC Słupsk Jantar

Co będziesz robić:• właściwie i efektywnie zarządzać funkcjonowaniem sklepu,
• zarządzać podległym zespołem (min. budowanie, motywowanie, rozwijanie),
• realizować wyznaczone cele sprzedażowe,
• dbać o właściwe standardy ekspozycji produktu,
• profesjonalnie obsługiwać klienta.

Szukamy osób, które:• posiadają doświadczenie w zarządzaniu sklepem i podległym zespołem,
• są zorientowane na wyniki i potrafią analizować raporty sprzedażowe,
• dbają o wysoki standard obsługi klienta,
• potrafią organizować efektywnie i planować czas pracy,
• potrafią motywować pracowników i zarządzać podległym zespołem,
• są odpowiedzialne i angażują się w wykonywane zadania,
• są komunikatywne i łatwo nawiązują kontakty.

Dodatkowe korzyści dla Ciebie:
• praca w międzynarodowej, dynamicznie rozwijającej się firmie,
• zatrudnienie w oparciu o umowę o pracę,
• prywatna opieka medyczna,
• możliwość przystąpienia do grupowego ubezpieczenia na życie oraz programu sportowego MultiSport/ OK System,
• dodatkowe benefity w postaci kart rabatowych na zakupy w sieci CCC oraz w sklepie internetowym eobuwie.pl,
• elastyczne godziny pracy,
• możliwości awansu.",,,,,Słupsk,Pełny etat,Umowa o pracę,8502871522649518782
Dodane 18 maja 2023,ID: 635855638,Kierownik budowy,Strona główna/Praca/Budowa / remonty/Budowa / remonty - Lubuskie/Budowa / remonty - Gorzów Wielkopolski,/oferty/uzytkownik/1lEPZ/,Odpowiednie doświadczenie zawodowe,"Firma Deweloperska poszukuje kandydata na stanowisko Kierownika budowy/Majstra.
Do Twoich zadań należeć będzie:
•  prowadzenie budowy,
•  bezpośredni nadzór realizacji robót,
•  koordynacja, nadzór i odbiór robót realizowanych przez podwykonawców,
•  planowanie i zamawianie materiałów budowlanych.
Od kandydatów oczekujemy:
• doświadczenia,
• posiadania uprawnień do kierowania robotami budowlanymi bez ograniczeń w specjalności konstrukcyjno-budowlanej,
•  dobra organizacja
• dyspozycyjność, 
•  prawo jazdy kat. B.
Oferujemy:
•  zatrudnienie w oparciu o umowę o pracę,
•  wynagrodzenie adekwatne do posiadanego doświadczenia i umiejętności,
• pracę w zgranym zespole.
CV proszę wysyłać przez olx, zastrzegamy sobie kontakt tylko z wybranymi osobami.",,,,,Gorzów Wielkopolski,Pełny etat,Umowa o pracę,2999449828700935004
Dodane Dzisiaj o 12:00,ID: 771565812,Technika dentystycznego zatrudnimy-miejsce pracy Mierzyn k. Szczecina,Strona główna/Praca/Zdrowie/Pozostałe w Zdrowie/Pozostałe w Zdrowie - Zachodniopomorskie/Pozostałe w Zdrowie - Mierzyn,/oferty/uzytkownik/9XU/,Odpowiednie doświadczenie zawodowe,"Laboratorium dentystyczne zatrudni technika dentystycznego ( metal). Zapewniamy stabilne zatrudnienie w oparciu o umowę o pracę, rozwój kompetencji zawodowych poprzez ciekawe prace oraz szkolenia, pracę w firmie z międzynarodowym doświadczeniem o stabilnej pozycji na rynku.Prosimy o przesłanie CV lub kontakt telefoniczny.",,,,,Mierzyn,Pełny etat,Umowa o pracę,-2093966651156872758
Dodane Dzisiaj o 13:52,ID: 836101329,Zlecę prace wykończeniowe,Strona główna/Praca/Budowa / remonty/Budowa / remonty - Dolnośląskie/Budowa / remonty - Lutynia,/oferty/uzytkownik/4mcuY/,Odpowiednie doświadczenie zawodowe,"Zlecę wykonanie zabudowy g-k, gładzie, malowanie . Praca w Lutyni do wykonania 9 lokali",,,,,Lutynia,Pełny etat,Samozatrudnienie,3533342233365728783
Dodane Dzisiaj o 11:28,ID: 759612484,"Praca Doradca klienta, umowa o pracę, sprzedawca, Gdańsk",Strona główna/Praca/Obsługa klienta i call center/Specjalista ds. obsługi klienta/Specjalista ds. obsługi klienta - Pomorskie/Specjalista ds. obsługi klienta - Gdańsk/Specjalista ds. obsługi klienta - Wrzeszcz,http://businessface.olx.pl,Doświadczenie nie jest wymagane/Elastyczny czas pracy,"OPISZależy Ci na stabilizacji i odpowiednim wynagrodzeniu? Chcesz rozwijać się w sprzedaży, a budowanie pozytywnych relacji z ludźmi to Twoje drugie imię?W takim razie jesteś doskonałym kandydatem!Aktualnie poszukujemy Doradcy Klienta w ING expressWażne jest dla nas, aby Nasz pracownik miał zapewnione odpowiednie warunki pracy, dlatego oferujemy Ci:stabilne zatrudnienie w oparciu o umowę o pracę, już od pierwszego dniawynagrodzenie w wysokości średnio 4000 zł na rękę i więcej - (podstawa+premia)elastyczny grafik - dopasowany do Twojego harmonogramupełne wdrożenie produktowe i sprzedażowe - wszystkiego nauczymy Cię od podstawsystem szkoleń rozwijających Twoje umiejętności sprzedaży i innych kompetencjimożliwość awansu zawodowego - dbamy o ciągły rozwój Twojej karierydofinansowanie do karty Multisport oraz opieki medycznejzgrany i przyjazny zespół - gwarantujemy fantastyczną i pełną pozytywnej energii atmosferę w pracystałe wsparcie i pomoc ze strony Team LeaderaJako Doradca Klienta będziesz odpowiedzialny za:aktywne pozyskiwanie nowych klientów bankurealizację celów sprzedażowych - będziesz zarabiać, oferując najlepsze produkty bankowe na rynkubezpośrednie rozmowy z Klientem i analizę Jego potrzebdopasowanie i prezentację odpowiedniej oferty dla Klientawsparcie Klienta podczas całego procesuSzukamy otwartych i nastawionych na sukces osób, dołącz do nas jeśli:posiadasz minimum średnie wykształceniebez problemu korzystasz z komputera i pakietu MS Officejesteś komunikatywny i uwielbiasz rozmawiać z ludźminie boisz się nowych wyzwań, a poczucie humoru nie odstępuję Cię na krokodpowiedzialność oraz zaangażowanie to jedne z Twoich największych atutówstawiasz na ciągły rozwój i zależy ci na aktywnym dążeniu do celuSzukamy osób z pozytywną energią, które zostaną z nami na dłużej!",4000,6000,zł, mies. brutto,"Gdańsk, Wrzeszcz",Pełny etat,Umowa o pracę,-5547722939274544341
Dodane Dzisiaj o 11:49,ID: 785396728,MOYA Stacja Paliw - Nowa Jakość,"Strona główna/Praca/Pracownik sklepu/Kasjer, pracownik sklepu/Kasjer, pracownik sklepu - Wielkopolskie/Kasjer, pracownik sklepu - Kórnik",/oferty/uzytkownik/1Dict/,Doświadczenie nie jest wymagane/Praca zmianowa/Praca w weekendy/Elastyczny czas pracy,"Lubisz kontakt z klientem, jesteś zaangażowany i chcesz się rozwijać według najnowszych standardów najszybciej rozwijającej się sieci polskich stacji  paliw - MOYA, szukasz pracy i nowych umiejętności - ta oferta jest dla Ciebie, zadzwoń lub napisz do nas i umów się na spotkanie, nie zapomnij powiedzieć nam czego oczekujesz i co jest dla ciebie ważne w pracy a my przedstawimy naszą ofertę.",4000,4500,zł, mies. brutto,Kórnik,Pełny etat,Umowa o pracę,3075328567456326423
Dodane Dzisiaj o 10:56,ID: 773275936,Zatrudnie mechanika do serwisu elektronarzędzi i maszyn budowlanych,"Strona główna/Praca/Mechanika i lakiernictwo/Mechanik, elektromechanik, wulkanizator/Mechanik, elektromechanik, wulkanizator - Podlaskie/Mechanik, elektromechanik, wulkanizator - Białystok/Mechanik, elektromechanik, wulkanizator - Białostoczek",/oferty/uzytkownik/1oxH0j/,Doświadczenie nie jest wymagane,"Zatrudnię mechanika lub osobę do przyuczenia do serwisu elektronarzędzi i maszyn budowlanych.KLUCZOWE OBOWIĄZKI:przyjmowanie zleceń serwisowychdiagnozowanie oraz naprawa urządzeń powierzonych oraz potem ich wydawanieprzeprowadzanie przeglądów okresowychreprezentowanie serwisu podczas prac w terenieprowadzenie i nadzorowanie dokumentacji serwisowejMILE WIDZIANE:doświadczeniezdolności manualneuprawnienia (SEP, wózki widłowe)umiejętność pracy w zespoleProszę o przesłanie CV na biuro(małpa)emb.bialystok.pl lub umówić się na spotkanie pod nr tel. 7 9 2 7 9 3 7 1 5",3500,6000,zł, mies. brutto,"Białystok, Białostoczek",Pełny etat,Umowa o pracę,5629677979045233674
Dodane Dzisiaj o 11:56,ID: 814207771,Kasjer sprzedawca Szprotawa,"Strona główna/Praca/Pracownik sklepu/Kasjer, pracownik sklepu/Kasjer, pracownik sklepu - Lubuskie/Kasjer, pracownik sklepu - Szprotawa",/oferty/uzytkownik/Pr0ua/,Doświadczenie nie jest wymagane,"Zatrudnię do pracy osobe na stanowisko kasjer sprzedawca na terenie Szprotawy przy sprzedaży  owoców i warzyw.
Sklep znajduje się na ul. Kożuchowska 3 .
Praca sezonowa do końca sierpnia.
Prosimy o kontakt jedynie osoby konkretne naprawdę zainteresowane. Mile widziane CV w sprawie szczegółow proszę dzwonić  pod nr 88602611",,,,,Szprotawa,Dodatkowa / sezonowa,Umowa zlecenie,4931752328612636284
Dodane Dzisiaj o 11:36,ID: 828401274,Lektor języka angielskiego Early Stage Białołęka,Strona główna/Praca/Edukacja/Nauczanie języków obcych/Nauczanie języków obcych - Mazowieckie/Nauczanie języków obcych - Warszawa/Nauczanie języków obcych - Białołęka,/oferty/uzytkownik/1DUCO1/,Odpowiednie doświadczenie zawodowe,"Pozwól swojej karierze pogalopować po naszej sprawdzonej ścieżce rozwoju i awansu! Jesteśmy firmą z ponad 29-letnim doświadczeniem na rynku edukacyjnym. Obecnie prowadzimy niemal 850 placówek w całej Polsce. Naszym nauczycielom oferujemy przede wszystkim bezpieczeństwo i stabilność zatrudnienia oraz możliwości rozwoju i awansu finansowego.  Cały czas dynamicznie się rozwijamy i właśnie rozpoczęliśmy rekrutację na r.sz 2023/24 do naszej szkoły na warszawskiej Białołęce. Znasz dobrze język angielski i lubisz pracować z dziećmi lub młodzieżą? Dołącz do naszego zespołu! (Poszukujemy studentów lub absolwentów filologii angielskiej lub osoby z certyfikatem) Zapewniamy:dobre stawki: 85 zł/60 min 128 zł/90 minut (brutto przy B2B)  i różne formy współpracy : umowa zlecenie, B2B jasną ścieżkę rozwoju i awansu finansowego - 5-stopniowy program Talent Booster (program obowiązujący we wszystkich filiach w całej Polsce - możesz zmieniać miejsce pracy w ramach Early Stage i mieć gwarancję, że Twój stopień awansu jest wszędzie uznawany);skuteczną metodę nauczania angielskiego opartą na autorskich materiałach;kompleksowe wdrożenie, bezpłatne szkolenia w trakcie roku szkolnego oraz stałą opiekę metodyczną; dostęp do platformy on-line, dziennika elektronicznego oraz aplikacji muzycznej, dzięki którym przygotowanie do zajęć jest jeszcze łatwiejsze;możliwość udziału w naszych projektach filmowych, muzycznych i teatralnych;możliwość pogodzenia pracy w szkole publicznej z zatrudnieniem u nas; Masz świetny angielski, ale nie masz doświadczenia w nauczaniu? Nie martw się - chętnie podzielimy się własnym. Jeśli tylko masz chęć do nauki i rozwoju - zapraszamy Cię do nas! Przeczytaj więcej o pracy w naszej szkole: universe.earlystage.pl/praca/praca-u-nasZobacz jacy jesteśmy: youmatter.earlystage.pl",,,,,"Warszawa, Białołęka",Pełny etat,Umowa zlecenie,4207277867816169905
Dodane Dzisiaj o 12:44,ID: 833780826,Praca zdalna na stanowisku specjalisty ds. sklepu online.,Strona główna/Praca/Zdrowie/Pozostałe w Zdrowie/Pozostałe w Zdrowie - Mazowieckie/Pozostałe w Zdrowie - Warszawa/Pozostałe w Zdrowie - Bielany,/oferty/uzytkownik/1oWf/,Doświadczenie nie jest wymagane/Elastyczny czas pracy/Rekrutacja online/Praca zdalna dozwolona,"Polska firma z możliwościami zagranicznymi poszukuje kreatywnych osób otwartych na wszechstronny rozwój zawodowy. Praca w systemie zdalnym.Praca na w/w stanowisku polega na:obsłudze przed sprzedażowej,obsłudze strony sklepu internetowego, nadzorowaniu poprawności funkcjonowania sklepu internetowego, optymalizacji procesów e-commerce, przygotowywaniu ofert klientom, współpracy z firmami zewnętrznymi w zakresie realizacji zamówień i partnerstwa,szukaniu rozwiązań zwiększających sprzedaż z wykorzystaniem Social mediów.Wymagania:otwartość, kreatywność, nastawienie na realizację celudostęp do internetu,wysoko rozwinięte zdolności społecznemile widziane doświadczenie w sprzedaży,Oferujemy:pracę w dużym, zgranym zespole,pakiet materiałów i narzędzi do pracy,system coachingowy i mentoringowy,programy samochodowe i wycieczkowe,obszerny plan rozwoju kariery, premie finansowe,spotkania firmowe,wsparcie medyczne.Oprócz proponowanego stanowiska możliwość rozwoju w innych dodatkowych modelach pracy - freelancer, headhunter, business partner.",500,5000,zł, mies. brutto,"Warszawa, Bielany",Dodatkowa / sezonowa,Inny,-6659346623314469745
Dodane Dzisiaj o 12:52,ID: 820732560,Utrzymanie Ruchu,"Strona główna/Praca/Produkcja/Praca inżynieryjna, techniczna/Praca inżynieryjna, techniczna - Zachodniopomorskie/Praca inżynieryjna, techniczna - Koszalin",/oferty/uzytkownik/Rbnw/,Odpowiednie doświadczenie zawodowe,"RGB TECHNOLOGY sp. z o.o. - zajmuje się projektowaniem i produkcją zaawansowanych technologicznie urządzeń elektronicznych. Marka RGB TECHNOLOGY należy do wiodących marek europejskich w branży elektronicznych wyświetlaczy w technologii LED.Poszukujemy kandydata do Sekcji Utrzymania Ruchu: Pracownik Utrzymania RuchuMiejsce pracy: KoszalinObowiązki:Zapewnienie bezpiecznego i sprawnego działania maszyn i urządzeń na działach produkcyjnych,Realizacja planów przeglądów i remontów maszyn,Rozwiązywanie bieżących problemów technicznych,Analiza przyczyn powstawania awarii i wdrażanie środków zaradczych.Wymagania:Wykształcenie minimum średnie techniczne (preferowane kierunki: automatyk, mechatronik),Doświadczenie zawodowe w dziale utrzymania ruch w podobnej pracy,Umiejętność czytania rysunku technicznego i dokumentacji technicznej,Umiejętność analizy problemów i ich samodzielnego rozwiązywania,Samodzielność, sumienność, chęć samorozwoju,Dyspozycyjność.Mile widziane:Wyższe techniczne Mechanika i budowa maszyn,Znajomość środowiska Solid Works,Znajomość języka angielskiego (technicznego).Oferujemy:Rozwój w zakresie Inżynierii maszynowej oraz procesowej,Atrakcyjne warunki zatrudnienia, umowa o pracę na pełen etat,Interesującą pracę w dużej, stabilnej i rozwijającej się firmie,Możliwość rozwoju zawodowego i doskonalenia umiejętności.          Miejsce pracy – Koszalin, ul. Karola Mytnika 28Strefa Ekonomiczna koło nowego McDonald'sProsimy o dopisanie następującej klauzuli: ""Wyrażam zgodę RGB Technology Sp. z o.o. z siedzibą w Koszalinie na przetwarzanie moich danych osobowych dla potrzeb niezbędnych do realizacji procesu rekrutacji, zgodnie z ustawą z dnia 10 maja 2018 roku o ochronie danych osobowych (Dz. Ustaw z 2019, poz. 1781) oraz zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (RODO).""",,,,,Koszalin,Pełny etat,Umowa o pracę,1808505375710802596
Dodane Dzisiaj o 12:21,ID: 834770007,Zatrudnię kierowców C oraz C+E w transporcie krajowym spedycja i linie,Strona główna/Praca/Kierowca/Kierowca - Wielkopolskie/Kierowca - Kalisz,/oferty/uzytkownik/JrovS/,Prawo jazdy: Kat. C+E/Zasięg transportu: Tylko krajowy/Odpowiednie doświadczenie zawodowe,"Firma logistyczna z Kalisza zatrudni kierowców C oraz C+E w transporcie krajowym. Poszukujemy pracowników na linie nocne i dzienne, transport pod spedycją a także lokalną dystrybucję. Oczekujemy min. 3 letniego doświadczenia jako kierowca zawodowy, niekaralności, elastyczności. Oferujemy atrakcyjne wynagrodzenie, zatrudnienie na podstawie umowy o pracę, pełen ZUS, pakiet sportowy, ubezpieczenie grupowe na preferowanych warunkach. Proszę o przesyłanie CV lub kontakt telefoniczny. W przypadku przesyłania CV prosimy dołączyć klauzulę o zgodzie na przetwarzanie danych osobowych na potrzeby rekrutacyjne.",,,,,Kalisz,Pełny etat,Umowa o pracę,2416253636073575400
Dodane Dzisiaj o 11:48,ID: 837017779,Pracownik restauracji McDonald’s Czechowice-Dziedzice,Strona główna/Praca/Gastronomia/Pracownik restauracji fast-food/Pracownik restauracji fast-food - Śląskie/Pracownik restauracji fast-food - Czechowice-Dziedzice,http://mcdonaldspolska.olx.pl,Doświadczenie nie jest wymagane,"McDonald's to jedna z najczęściej odwiedzanych restauracji na świecie, szerokie możliwości rozwoju, pewność zatrudnienia i niezwykła atmosfera.
Aplikuj do McDonald's i przyrządzaj ludziom to, co lubią najbardziej!
Pracownik restauracji również z orzeczeniem o niepełnosprawności
Pracownik restauracji

Pracownik restauracji McDonald’s Czechowice-Dziedzice

Co będziesz robić?
• przygotowywać burgery, desery i inne pyszności
• sprzedawać je
• kompletować i wydawać zamówienia
• dbać o porządek

Masz smaka na tę ofertę? Aplikuj na praca.mcdonalds.pl lub wypełnij ulotkę rekrutacyjną w restauracji McDonald's Czechowice-Dziedzice
Czego szukamy?
• chęci do pracy
• otwartości i komunikatywności
• umiejętności pracy w zespole
• orzeczenia o niepełnosprawności
 
Pssst: Nie musisz mieć doświadczenia w gastronomii - wszystkiego Cię nauczymy!

Co otrzymasz od nas?
• Umowa o pracę
• Stawka 20,80 zł/h brutto
• Dodatki do wynagrodzenia:

- 20% stawki za pracę w godzinach nocnych 23:00-7:00
- 1 zł/h dodatek frekwencyjny po okresie próbnym
•  
• Elastyczny grafik i możliwość pracy w niepełnym wymiarze godzin
• Zniżki na nasze produkty do wszystkich restauracji w Polsce
• Atrakcyjna oferta rabatowa na posiłki w czasie pracy
• Prywatna opieka medyczna i ubezpieczenia na życie
• Możliwość nabycia kart sportowych dla Ciebie i Twoich bliskich",,,,,Czechowice-Dziedzice,Niepełny etat,Umowa o pracę,-2095168565202170999
Dodane Dzisiaj o 13:28,ID: 836098881,Monter instalacji niskoprądowych,Strona główna/Praca/Montaż i serwis/Montaż i serwis - Wielkopolskie/Montaż i serwis - Suchy Las,/oferty/uzytkownik/ma0OS/,Odpowiednie doświadczenie zawodowe,"Jesteśmy wiodącym dostawcą ekranów LED, systemów AUDIO-WIDEO oraz kreatywnych rozwiązań multimedialnych. Zajmujemy się zarówno instalacjami telebimów, sieci ekranów LED, wyposażeniem studiów telewizyjnych, wyposażeniem multimedialnym budynków oraz obiektów sportowych. W zakresie naszej działalności znajduje się również tworzenie interaktywnych ekspozycji muzealnych, dostarczanie sprzętu AV dla sal konferencyjnych i szkoleniowych, oraz realizacja indywidualnych, nieszablonowych projektów naszych klientów.Obecnie poszukujemy energicznych, odpowiedzialnych i zaangażowanych w pracę osób na stanowisko:Monter instalacji niskoprądowychZakres obowiązków:montaż instalacji technicznych na obiekcie, uruchamianie instalacji niskoprądowych,serwis i konserwacja instalacji niskoprądowych,współpraca z projektantami instalacji oraz działem technicznym.Oczekiwania:doświadczenie w montażu instalacji niskoprądowych (kablowanie, montaż elementów),gotowość do częstych wyjazdów w celu realizacji kontraktów na terenie całego kraju,dokładność i rzetelność,umiejętność analitycznego i logicznego myślenia,dobra organizacja pracy i umiejętność pracy w zespole,brak przeciwskazań do pracy na wysokościach,czynne prawo jazdy kat. B,Mile widziane:wykształcenie techniczne o specjalności elektrycznej/energetycznej lub pokrewnej,certyfikaty, uprawnienia, znajomość języka angielskiego pozwalająca na swobodną komunikację.W zamian oferujemy:stabilną i ciekawą pracę w firmie posiadającej ugruntowaną pozycję w swojej branżystałe zatrudnienie w oparciu o umowę o pracę/b2bwsparcie zespołu i możliwość rozwojumożliwość przystąpienia do ubezpieczenia grupowego i programu MultiSport,niezbędne narzędzia pracy.",,,,,Suchy Las,Pełny etat,Umowa o pracę,-5187453049564443568
